Episode,TotalReward,SuccessCount,Collisions
0,-14357.13574,0,5784
1,-13726.01172,0,5598
2,-4790.180176,98,6203
3,-15114.51367,0,6639
4,-14237.42285,0,6324
5,-4312.653809,99,6991
6,-5838.852539,100,6749
7,-13556.04199,0,6533
8,-16161.60742,0,6901
9,-13746.46387,0,6551
10,-3175.888672,100,5635
11,-5602.879395,100,6970
12,-15000.97852,0,6572
13,-5600.402344,100,7382
14,-5460.597168,99,7344
15,-15353.01855,0,6668
16,-13614.90039,0,6359
17,-5445.648438,96,7100
18,-4804.296875,100,6849
19,5208.380371,200,6811
20,-5257.944824,100,7243
21,-15406.2041,0,6956
22,-15999.25,0,7569
23,-15115.23926,0,7203
24,-14142.5,0,7210
25,-13173.87988,0,6948
26,-14343.6875,0,6100
27,-6207.385254,96,6656
28,-15023.50195,0,7423
29,-6183.539063,99,6683
30,-14762.25195,0,7263
31,-14478.51465,0,6896
32,-15716.25879,0,7148
33,-6487.654785,96,7377
34,-14495.82031,0,7329
35,-5835.400391,98,7197
36,-16133.14453,0,7476
37,-6186.734863,98,7624
38,-6819.108398,93,7811
39,-16518.38477,0,7788
40,-5207.849609,100,7095
41,-6098.888184,100,7729
42,-6255.84082,100,7059
43,-5160.47168,100,8240
44,-15695.94629,0,7609
45,-3781.60791,98,7271
46,-14823.93066,0,7267
47,-6463.969727,98,7573
48,-4782.803223,100,6731
49,-14464.83789,0,7340
50,-16886.24023,0,7589
51,-14431.53906,0,7156
52,-16081.5957,0,7559
53,-15332.66992,0,7783
54,-16087.34473,0,7760
55,-4336.643066,100,7250
56,-16150.36816,0,7277
57,-5310.97168,97,7131
58,-6003.719238,100,7540
59,-5951.510742,100,7201
60,-16007.46191,0,7901
61,-5637.836914,100,7622
62,-5267.060059,100,7804
63,-16197.36719,0,7762
64,-5315.021484,100,7399
65,-5028.458008,100,7464
66,-16178.20313,0,8121
67,-6809.559082,100,7336
68,-5621.322754,99,7908
69,-5084.078125,90,6798
70,-14312.67383,0,7032
71,-5647.919434,98,6926
72,-7382.827148,84,7487
73,-15669.46387,0,8016
74,-6801.317871,100,7527
75,-5390.729004,100,7684
76,-5700.063477,99,7507
77,-6286.953125,100,7600
78,-15102.875,0,7587
79,-15100.78711,0,7073
80,-14995.32715,0,8115
81,-14322.79883,0,7555
82,-16164.72656,0,7630
83,-5727.498047,100,7888
84,-5866.484375,100,7962
85,-14840.95996,0,7747
86,-17480.60547,0,7808
87,-5035.641602,100,7841
88,4300.776855,200,7031
89,-5580.097656,100,8044
90,-6222.29248,100,7165
91,-6602.883789,100,7776
92,-16255.91309,0,8020
93,-5676.79248,100,7607
94,-5648.375977,100,7599
95,-5894.339844,100,7597
96,-5378.844238,99,7351
