Episode,TotalReward,SuccessCount,SuccessRate,CollisionCount,CollisionRate
0,-2363.73877,0,0,5,0.5
1,-2891.650146,0,0,4,0.4
2,-2022.471069,0,0,2,0.2
3,102.3403473,1,0.1,0,0
4,-3451.060547,0,0,6,0.6
5,-2295.08252,0,0,4,0.4
6,-4048.210205,0,0,7,0.7
7,-1091.885864,0,0,2,0.2
8,91.00401306,1,0.1,2,0.2
9,59.47400665,1,0.1,4,0.4
10,-3987.677246,0,0,6,0.6
11,62.68520355,1,0.1,3,0.3
12,-2325.038574,0,0,4,0.4
13,98.13201904,1,0.1,0,0
14,83.31878662,1,0.1,0,0
15,-2359.816406,0,0,4,0.4
16,-3161.678955,0,0,6,0.6
17,36.42333984,1,0.1,6,0.6
18,103.5346069,1,0.1,0,0
19,77.54383087,1,0.1,2,0.2
20,90.03244781,1,0.1,0,0
21,52.43268204,1,0.1,3,0.3
22,-3740.721191,0,0,6,0.6
23,-2842.727783,0,0,5,0.5
24,93.25565338,1,0.1,2,0.2
25,90.18230438,1,0.1,0,0
26,-67.55335999,1,0.1,5,0.5
27,79.57158661,1,0.1,2,0.2
28,-4176.397949,0,0,7,0.7
29,72.68953705,1,0.1,2,0.2
30,-2678.94751,0,0,4,0.4
31,60.43036652,1,0.1,2,0.2
32,100.8505325,1,0.1,0,0
33,-2976.05957,0,0,5,0.5
34,29.19356155,1,0.1,4,0.4
35,-48.67736816,1,0.1,2,0.2
36,44.10257339,1,0.1,3,0.3
37,45.81331253,1,0.1,4,0.4
38,101.9135818,1,0.1,0,0
39,71.90714264,1,0.1,3,0.3
40,-2197.302002,0,0,6,0.6
41,97.15499878,1,0.1,2,0.2
42,89.11220551,1,0.1,2,0.2
43,100.6428604,1,0.1,0,0
44,83.76021576,1,0.1,2,0.2
45,94.19730377,1,0.1,2,0.2
46,92.40579987,1,0.1,0,0
47,97.95425415,1,0.1,0,0
48,94.97225952,1,0.1,2,0.2
49,70.79185486,1,0.1,2,0.2
50,56.69576263,1,0.1,4,0.4
51,-93.86349487,1,0.1,7,0.7
52,-4542.310059,0,0,10,1
53,-14.0989151,1,0.1,7,0.7
54,-2894.317871,0,0,4,0.4
55,101.3691406,1,0.1,0,0
56,59.07569885,1,0.1,2,0.2
57,59.47424316,1,0.1,4,0.4
58,98.48818207,1,0.1,0,0
59,79.47457123,1,0.1,6,0.6
60,97.91773224,1,0.1,2,0.2
61,93.13259888,1,0.1,2,0.2
62,85.02907562,1,0.1,0,0
63,93.75127411,1,0.1,2,0.2
64,-31.70008087,1,0.1,6,0.6
65,-14.01316833,1,0.1,6,0.6
66,-3807.375244,0,0,10,1
67,81.15403748,1,0.1,2,0.2
68,89.22673798,1,0.1,2,0.2
69,91.79717255,1,0.1,2,0.2
70,88.30119324,1,0.1,2,0.2
71,50.55097198,1,0.1,4,0.4
72,85.72122192,1,0.1,2,0.2
73,-244.8794403,1,0.1,6,0.6
74,91.58087921,1,0.1,2,0.2
75,98.78684998,1,0.1,0,0
76,99.28412628,1,0.1,0,0
77,55.74969864,1,0.1,2,0.2
78,193.8159943,2,0.2,2,0.2
79,98.4881134,1,0.1,0,0
80,23.3399353,1,0.1,4,0.4
81,93.07790375,1,0.1,2,0.2
82,94.9497757,1,0.1,2,0.2
83,88.58614349,1,0.1,2,0.2
84,64.20082092,1,0.1,2,0.2
85,95.95783997,1,0.1,0,0
86,49.53527069,1,0.1,2,0.2
87,95.40483856,1,0.1,0,0
88,-2601.690674,0,0,8,0.8
89,90.06951904,1,0.1,4,0.4
90,100.188591,1,0.1,2,0.2
91,95.70220184,1,0.1,0,0
92,100.3884583,1,0.1,0,0
93,83.08287048,1,0.1,2,0.2
94,102.4299393,1,0.1,0,0
95,65.24666595,1,0.1,4,0.4
96,98.17871094,1,0.1,2,0.2
97,-3592.303467,0,0,10,1
98,15.4594574,1,0.1,4,0.4
99,-3528.986572,0,0,10,1
100,-2827.685303,0,0,7,0.7
101,95.12081146,1,0.1,2,0.2
102,91.4522934,1,0.1,0,0
103,96.30210114,1,0.1,0,0
104,107.0089264,1,0.1,2,0.2
105,91.09642792,1,0.1,2,0.2
106,94.26700592,1,0.1,2,0.2
107,70.31361389,1,0.1,2,0.2
108,83.48749542,1,0.1,4,0.4
109,77.23426819,1,0.1,2,0.2
110,102.0546417,1,0.1,0,0
111,-4581.214355,0,0,7,0.7
112,-1873.771973,0,0,6,0.6
113,37.01068497,1,0.1,5,0.5
114,97.80157471,1,0.1,0,0
115,-35.95137024,1,0.1,3,0.3
116,95.73308563,1,0.1,2,0.2
117,91.59890747,1,0.1,2,0.2
118,99.28862,1,0.1,0,0
119,87.82225037,1,0.1,2,0.2
120,97.14809418,1,0.1,0,0
121,69.02579498,1,0.1,2,0.2
122,79.77935791,1,0.1,2,0.2
123,-74.68466187,1,0.1,5,0.5
124,80.6680069,1,0.1,3,0.3
125,94.46255493,1,0.1,0,0
126,91.34959412,1,0.1,4,0.4
127,-94.66790009,1,0.1,3,0.3
128,80.0697403,1,0.1,2,0.2
129,66.94908142,1,0.1,3,0.3
130,99.31302643,1,0.1,0,0
131,101.091011,1,0.1,0,0
132,101.3511047,1,0.1,0,0
133,96.97399139,1,0.1,4,0.4
134,100.5761719,1,0.1,0,0
135,79.66585541,1,0.1,3,0.3
136,96.96997833,1,0.1,2,0.2
137,-80.54602814,1,0.1,7,0.7
138,28.79660034,1,0.1,3,0.3
139,101.4799271,1,0.1,0,0
140,-32.25557709,1,0.1,6,0.6
141,87.02877808,1,0.1,2,0.2
142,30.20723724,1,0.1,6,0.6
143,-52.00066376,1,0.1,7,0.7
144,46.23321915,1,0.1,4,0.4
145,74.18637085,1,0.1,2,0.2
146,101.4646912,1,0.1,0,0
147,103.6417007,1,0.1,0,0
148,85.34207153,1,0.1,2,0.2
149,66.62005615,1,0.1,4,0.4
150,56.91052628,1,0.1,4,0.4
151,92.20986938,1,0.1,3,0.3
152,90.51490784,1,0.1,2,0.2
153,91.04892731,1,0.1,0,0
154,57.22796249,1,0.1,4,0.4
155,92.56789398,1,0.1,0,0
156,84.70490265,1,0.1,2,0.2
157,89.5198822,1,0.1,2,0.2
158,91.67008209,1,0.1,0,0
159,89.77926636,1,0.1,2,0.2
160,85.48342133,1,0.1,3,0.3
161,78.77192688,1,0.1,2,0.2
162,100.4900055,1,0.1,0,0
163,100.4914627,1,0.1,0,0
164,98.45800781,1,0.1,2,0.2
165,99.3249054,1,0.1,0,0
166,97.31134796,1,0.1,0,0
167,102.3080521,1,0.1,0,0
168,-23.37106323,1,0.1,5,0.5
169,62.18967438,1,0.1,4,0.4
170,103.9494171,1,0.1,0,0
171,35.54687119,1,0.1,7,0.7
172,103.9357681,1,0.1,0,0
173,-1.447723389,1,0.1,5,0.5
174,82.08992767,1,0.1,2,0.2
175,65.65368652,1,0.1,4,0.4
176,-1845.611694,0,0,7,0.7
177,100.8768005,1,0.1,0,0
178,65.39692688,1,0.1,2,0.2
179,79.78179932,1,0.1,2,0.2
180,46.80861664,1,0.1,2,0.2
181,22.1139679,1,0.1,5,0.5
182,59.44068146,1,0.1,4,0.4
183,97.49436188,1,0.1,0,0
184,95.50086212,1,0.1,0,0
185,-26.78210449,1,0.1,5,0.5
186,60.36412048,1,0.1,5,0.5
187,93.34541321,1,0.1,0,0
188,46.39832306,1,0.1,2,0.2
189,86.871315,1,0.1,2,0.2
190,91.61289978,1,0.1,2,0.2
191,75.72943115,1,0.1,0,0
192,41.83266449,1,0.1,2,0.2
193,91.77586365,1,0.1,2,0.2
194,91.74292755,1,0.1,2,0.2
195,-2705.175537,0,0,9,0.9
196,51.82718277,1,0.1,6,0.6
197,-41.73885345,1,0.1,8,0.8
198,-2.150100708,1,0.1,4,0.4
199,100.4467316,1,0.1,0,0
200,98.78118134,1,0.1,0,0
201,96.65610504,1,0.1,2,0.2
202,86.17284393,1,0.1,2,0.2
203,42.78092194,1,0.1,3,0.3
204,72.63617706,1,0.1,5,0.5
205,60.86453247,1,0.1,3,0.3
206,94.41330719,1,0.1,4,0.4
207,94.79544067,1,0.1,2,0.2
208,-2478.859863,0,0,9,0.9
209,105.3364716,1,0.1,0,0
210,59.59928131,1,0.1,4,0.4
211,92.91543579,1,0.1,2,0.2
212,96.28717041,1,0.1,2,0.2
213,4.622802734,1,0.1,6,0.6
214,38.86851501,1,0.1,3,0.3
215,91.78398132,1,0.1,2,0.2
216,110.7892075,1,0.1,0,0
217,49.85084534,1,0.1,5,0.5
218,99.63238525,1,0.1,0,0
219,80.51644135,1,0.1,4,0.4
220,86.90431976,1,0.1,3,0.3
221,96.39815521,1,0.1,0,0
222,83.56521606,1,0.1,3,0.3
223,-2826.147461,0,0,10,1
224,87.44530487,1,0.1,2,0.2
225,78.42327881,1,0.1,2,0.2
226,104.5293045,1,0.1,0,0
227,-1858.677979,0,0,6,0.6
228,69.80155945,1,0.1,2,0.2
229,105.5916443,1,0.1,0,0
230,71.32746887,1,0.1,2,0.2
231,93.19723511,1,0.1,2,0.2
232,87.8324585,1,0.1,0,0
233,-3632.795654,0,0,10,1
234,98.485672,1,0.1,0,0
235,-1743.068604,0,0,9,0.9
236,87.899086,1,0.1,2,0.2
237,-2952.577881,0,0,7,0.7
238,101.9071808,1,0.1,0,0
239,22.8837204,1,0.1,5,0.5
240,98.36962128,1,0.1,0,0
241,85.12940216,1,0.1,2,0.2
242,99.0555191,1,0.1,0,0
243,99.78842926,1,0.1,0,0
244,89.09513092,1,0.1,2,0.2
245,99.17967987,1,0.1,2,0.2
246,23.90547943,1,0.1,4,0.4
247,-2478.530029,0,0,7,0.7
248,107.6336288,1,0.1,0,0
249,96.78482819,1,0.1,2,0.2
250,72.57985687,1,0.1,4,0.4
251,108.0095215,1,0.1,0,0
252,66.42483521,1,0.1,3,0.3
253,82.70603943,1,0.1,3,0.3
254,71.71920776,1,0.1,4,0.4
255,-2651.952881,0,0,9,0.9
256,84.3865509,1,0.1,2,0.2
