Episode,TotalReward,SuccessCount
0,-5970.099609,0
1,-4055.245605,0
2,67.77546692,1
3,-6560.364258,0
4,-5842.080566,0
5,5.363780975,1
6,95.81708527,1
7,-1199.038086,0
8,-5460.36377,0
9,86.79494476,1
10,87.92379761,1
11,-4631.015137,0
12,-3303.466064,0
13,86.79914093,1
14,-4339.18457,0
15,-4150.833008,0
16,-6355.592773,0
17,-4134.370605,0
18,92.97857666,1
19,92.99503326,1
20,-4063.831787,0
21,-9662.171875,0
22,-5245.816895,0
23,-3454.006348,0
24,-1843.448975,0
25,50.80738831,1
26,-3744.64502,0
27,996.6092529,0
28,-1007.859192,0
29,-3833.001465,0
30,-1595.583862,0
31,-3384.9104,0
32,105.0394821,1
33,-3437.342041,0
34,-2352.907227,0
35,-4065.516357,0
36,-5132.547852,0
37,-1103.588989,0
38,-254.8367767,1
39,-3195.732422,0
40,-2433.442627,0
41,-4129.899902,0
42,-3992.059326,0
43,68.98152161,0
44,-3673.666748,0
45,-3973.463867,0
46,-2748.674561,0
47,-1664.347412,0
48,-2603.239746,0
49,-4141.249512,0
50,1093.806274,0
51,-4569.59082,0
52,-776.2375488,0
53,267.8036499,0
54,-2002.125122,0
55,-2685.74707,0
56,-3268.761963,0
57,-1616.875854,0
58,-3157.581299,0
59,-3185.666992,0
60,-1833.91626,0
61,-2862.071289,0
62,-2810.980225,0
63,-4037.115234,0
64,-3321.147705,0
65,10.98259354,0
66,-683.5302124,0
67,-825.5501099,0
68,-693.9320679,0
69,-2078.468994,0
70,99.01038361,1
71,-70.9206543,0
72,-2321.361328,0
73,-1086.7948,0
74,-3326.811523,0
75,-737.6478271,0
76,-1811.139404,0
77,-1250.13855,0
78,-250.3552094,0
79,-2507.206055,0
80,-2933.253662,0
81,-2399.977295,0
82,-3697.627197,0
83,-4097.614746,0
84,-347.0321655,1
85,-598.0450439,0
86,98.77759552,1
87,87.65511322,1
88,-1393.199707,0
89,-2801.320068,0
90,-2373.037842,0
91,-1206.680542,0
92,-2763.11084,0
93,92.92407227,1
94,80.9850769,1
95,-43.34546661,1
96,-1532.727783,0
97,-1575.642334,0
98,-3867.052734,0
99,-2433.376465,0
100,-1981.949585,0
101,-710.4813843,0
102,-1891.574097,0
103,-2821.946777,0
104,-2040.192139,0
105,-525.4845581,0
106,-1479.471924,0
107,-2224.026611,0
108,68.66796875,1
109,-3772.052246,0
110,-2550.292236,0
111,89.77503204,1
112,-3201.808594,0
113,-3221.334229,0
114,-3155.624268,0
115,317.9762573,0
116,86.75986481,1
117,-793.1642456,0
118,-3406.113281,0
119,86.94716644,1
120,-3618.580811,0
121,-2897.871582,0
122,-719.2366943,0
123,-3708.620361,0
124,-4967.45752,0
125,-1160.256104,0
126,-3219.225098,0
127,-2054.31543,0
128,-755.7468262,0
129,-1753.391968,0
130,-729.6229858,0
131,-4241.281738,0
132,214.0607758,0
133,-2429.852295,0
134,-1719.411011,0
135,104.9565201,1
136,-1821.534546,0
137,-30.01335144,1
138,-2949.464844,0
139,-735.0747681,0
140,-3053.647217,0
141,-2331.449707,0
142,-2498.293945,0
143,-5228.645508,0
144,-3758.334229,0
145,-4968.357422,0
146,-4696.764648,0
147,-1429.890137,0
148,1129.040649,0
149,-1611.08313,0
150,-1534.302856,0
151,86.81252289,1
152,-1600.738037,0
153,-2941.120361,0
154,-350.0421143,0
